"URBAN AND REGIONAL PLANNI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"305
Introduction to the City","001","","29","2.857","6.9","20.7","24.1","27.6","17.2",".",".","3.4",".",".",".",".",".",".",".","."
"306
The Real Estate Process","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"312
Regional Develop & Planning","001","","8","3.250","37.5","25.0","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"420
Urban & Regional Economics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"617
Community Development","001","","12","3.364","25.0","33.3","25.0",".","8.3",".",".",".",".",".",".",".",".",".","8.3","."
"645
Modern American Communities","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"720
Urban Economics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"721","001","","16","3.656","50.0","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"721","002","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Planning Analysis","Course Total","","26","3.750","61.5","26.9","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"734
Regional Econ Prob Analysis","001","","7","3.429","42.9",".","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"741
Introduction to Planning","001","","25","3.740","60.0","28.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"752
Capital Improvement&Budget","001","","17","3.706","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"761
Central City Planning-Issue","001","","21","3.643","38.1","52.4","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"843
Land Use Policy & Planning","001","","18","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"865
Water Resrce Inst&Policies","001","","11","3.682","63.6","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"924
Seminar-Political Sociology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932
Smr-Rsch Review & Criticism","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"944
Seminar-Housing Issues","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"969","001","","19","3.632","47.4","31.6","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"969","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr:Trends&Iss-Public Plan","Course Total","","24","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","8","4.000","37.5",".",".",".",".",".",".","50.0",".",".",".","12.5",".",".",".","."
"999","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
