"BUS","","","","","","","","","","","","","","","","","","",""
"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300
001","206","3.034","13.6","18.4","46.1","13.6","3.9","2.9","1.0",".",".",".",".",".",".","0.5",".","."
"Property Risk Management","610
001","32","3.226","37.5","3.1","37.5","3.1","15.6",".",".","3.1",".",".",".",".",".",".",".","."
"Life and Health Insurance","630
001","35","2.914","17.1","14.3","34.3","20.0","5.7","8.6",".",".",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640
001","15","3.250","20.0","33.3","26.7",".","13.3",".",".","6.7",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700
001","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Financing Techniques","815
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Risk Managemnt&Insuranc","870
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","5","***","","","","","","","","","","","","","","","",""
"R M I
241","Dept. Total","306","3.086","19.9","17.0","41.2","11.8","5.6","2.9","0.7","0.7",".",".",".",".",".","0.3",".","."
