"PSYCHIATRY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","",""
"","699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Third Year Psychiatry","812","001","","78","3.654","55.1","29.5","10.3","1.3","3.8",".",".",".",".",".",".",".",".",".",".","."
"PsychophmcRsch&Prac-CSC/VAH","911","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","922","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Psych Clerk-Mendota","924","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Psy Clerk-CSC/MHC","925","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PSYCHIAT
814","","Dept. Total","","94","3.691","58.5","28.7","8.5","1.1","3.2",".",".",".",".",".",".",".",".",".",".","."
