"POPULATION HEALTH SCIENCE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","",""
"Health Info for Teachers","501
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Air Pollution&Human Health","502
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Transcultural Health Care","610
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","650
002","14","3.737","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
003","22","3.568","31.8","50.0","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
004","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
005","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
006","25","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
008","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","130","3.827","71.5","20.0","8.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Health & Medical Sys","662
002","22","3.705","50.0","40.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
056","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
"Qual-Hlth Care:Eval&Assurnc","703
002","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Contemp Iss:Health Care","719
001","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Iss-Hlth Care Admin","731
001","14","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","797
001","31","3.489","32.3","29.0","35.5",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"","797
003","24","3.583","45.8","25.0","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy&Meth-Epidemiology","Course Total","55","3.522","38.2","27.3","32.7",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"Epidemiol-Chronic Diseases","802
001","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Mgmt Ethics&Leadership","889
002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","901
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Epidemiol Elect-Div of Hlth","911
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundmtls Interntl Hlth-MSC","915
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Diseas&Injry Epidem-DivHlth","916
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
036","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
056","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","18","3.961","83.3",".","5.6",".",".",".",".","11.1",".",".",".",".",".",".",".","."
