"MED","","","","","","","","","","","","","","","","","","","",""
"RADIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","",""
"","820
001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","820
002","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiology Selective","Course Total","","25","3.820","64.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","919
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Diagnostic Radiol Clerk-CSC","920
001","","35","3.989","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Nuclr Med Clerk-CSC/VA","923
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Radiol Clerk-St Lukes","924
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"RADIOL
832","Dept. Total","","66","3.914","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
