"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"362","001","","37","3.333","24.3","35.1","18.9","18.9",".",".",".","2.7",".",".",".",".",".",".",".","."
"362","002","","98","3.058","23.5","25.5","14.3","20.4","8.2","3.1","2.0","3.1",".",".",".",".",".",".",".","."
"362","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Development of Young Child","Course Total","","143","3.183","28.0","26.6","14.7","18.9","5.6","2.1","1.4","2.8",".",".",".",".",".",".",".","."
"363
Develp: Adolescence-Old Age","001","","107","3.364","29.0","38.3","20.6","8.4","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"366
Family Relationships","001","","189","2.835","8.5","14.8","31.2","28.0","12.7","2.6",".","1.6",".",".",".",".",".","0.5",".","."
"376
Mass Media and the Family","001","","12","3.400","16.7","33.3","33.3",".",".",".",".","8.3",".",".",".",".",".","8.3",".","."
"460
Intellect Develop&Preschool","001","","29","3.741","79.3","6.9","6.9","3.4",".","3.4",".",".",".",".",".",".",".",".",".","."
"461
Soc&Emotnl Dev-Early Educ","001","","37","3.784","94.6",".",".",".",".",".","5.4",".",".",".",".",".",".",".",".","."
"463
Teaching Laboratory","001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"469
Family&Com Influences-Child","001","","22","3.705","50.0","40.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"471
Parent-Child Relations","001","","29","3.536","34.5","41.4","13.8","6.9",".",".",".",".",".",".",".",".",".",".",".","3.4"
"474
Ethnic Minority Families-US","001","","38","3.297","18.4","39.5","34.2","2.6",".",".","2.6",".",".",".",".",".",".",".",".","2.6"
"516
Family Stress and Coping","001","","52","3.696","65.4","21.2","3.8","3.8","1.9","1.9",".",".",".",".",".",".",".",".",".","1.9"
"564
Early Child Ed Tchg Practcm","001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"565
Preschool Stdt Teacher Smr","001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"566
Sr Seminar-Chld&Fam Studies","001","","24","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"601","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"601","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"601","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"664
Prosmr: Child & Fam Studies","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Theory & Issues-Human Dev","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"762
Adolescence and the Family","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","001","","12","3.542","41.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"766","003","","16","3.719","50.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","004","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","","43","3.756","62.8","27.9","7.0","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"865
Family Theory I (Survey)","001","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 140 of 373",""
