"Pediatric Neurol Clerk-CSC","965
001","3","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Pediatric Sports Med-CSC","966
001","3","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Ped Pulmon/Allergy Clrk-CSC","967
001","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"PEDIAT
708","Dept. Total","116","3.676","49.1","37.9","6.9","1.7","",".","",".","",".","",".","",".",".","",".","",".","",".",".","3.4","0.9"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","4.000","50.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","50.0","."
"Undergraduates","","2","4.000","50.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","50.0","."
"Special","","7","3.625","28.6","14.3","14.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","42.9","."
"Graduate","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","57","3.589","35.1","49.1","10.5","3.5","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","1.8"
"Prof Yr 4","","49","3.813","67.3","30.6","2.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","106","3.675","50.0","40.6","6.6","1.9","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","0.9"
"","Dept. Total","116","3.676","49.1","37.9","6.9","1.7","",".","",".","",".","",".","",".",".","",".","",".","",".",".","3.4","0.9"
