"RISK MANAGEMENT AND INSUR Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300","001","148","2.868","11.5","12.2","43.9","12.8","16.2","2.0","1.4",".",".",".",".",".",".",".",".","."
"Property Risk Management","610","001","36","3.171","19.4","13.9","52.8","2.8","8.3",".",".","2.8",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620","001","19","3.132","26.3",".","52.6","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Life and Health Insurance","630","001","20","3.300","20.0","35.0","30.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640","001","22","3.136","22.7","18.2","31.8","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700","001","7","3.429","57.1",".","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Risk Financing Techniques","815","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","079","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","5","***","","","","","","","","","","","","","","","",""
