"NURSING","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105","001","","81","3.663","58.0","25.9","8.6","3.7","1.2","1.2",".","1.2",".",".",".",".",".",".",".","."
"Intro to Nursing Practice","212","001","","94","3.410","26.6","40.4","22.3","9.6","1.1",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nursing I","219","001","","52","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Hlth Hist&Patient Assessmnt","301","001","","56","3.643","48.2","39.3","7.1","3.6","1.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","302","001","","44","3.682","56.8","31.8","4.5","4.5","2.3",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology & Nursing","310","001","","63","3.500","31.7","39.7","27.0",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"Alterations in Body Systems","312","001","","42","3.048","11.9","28.6","33.3","14.3","9.5","2.4",".",".",".",".",".",".",".",".",".","."
"","317","001","","9","3.444","33.3","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","317","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Assessment","","Course Total","","12","3.417","25.0","41.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Nurs Care-Inpatient Setting","319","001","","45","3.656","55.6","28.9","8.9","4.4","2.2",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","322","001","","54","3.907","85.2","13.0",".","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","332","001","","81","3.352","13.6","48.1","33.3","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","341","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theoretical Foundations","","Course Total","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Sexuality","360","001","","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","401","001","","47","2.904","17.0","14.9","19.1","34.0","12.8","2.1",".",".",".",".",".",".",".",".",".","."
"","406","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","406","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Concepts-Prof Nursing Pract","","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","415","001","","40","3.200","30.0","20.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419","001","","50","3.900","84.0","14.0",".","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concepts-Nurs Practice","422","001","","37","3.770","56.8","40.5","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Essentials-Gerontol Nursing","433","001","","56","3.884","89.3","8.9",".",".",".",".","1.8",".",".",".",".",".",".",".",".","."
"","434","001","","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","434","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Nursing Research","","Course Total","","9","3.667","55.6","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt & Leadershp in Nursing","437","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Health Nursing","444","001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","449","001","","33","3.879","75.8","24.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Primary Health Care-School","470","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","519","001","","6","3.333","66.7",".",".",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","519","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Practicum for RN's","","Course Total","","7","3.429","71.4",".",".",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"","590","001","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590","002","","46","3.578","32.6","47.8","17.4",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"","590","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Practices-Nursing","","Course Total","","55","3.565","30.9","50.9","14.5","1.8",".",".",".","1.8",".",".",".",".",".",".",".","."
"Interdis Rur Prim Hlth Care","600","001","","13","3.654","30.8","69.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transcultural Health Care","610","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","612","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 354 of 373",""
