"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"574
Veterinary Prev Medicine","001","","80","3.856","71.3","28.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"620
Veterinary Medicine I","001","","81","2.938","14.8","14.8","39.5","7.4","22.2","1.2",".",".",".",".",".",".",".",".",".","."
"624
Theriogenology I","001","","81","3.173","24.7",".","67.9",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"670","001","","41","4.000","2.4",".",".",".",".",".",".","97.6",".",".",".",".",".",".",".","."
"670","201","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","","45","4.000","4.4",".",".",".",".",".",".","95.6",".",".",".",".",".",".",".","."
"671","001","","22","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"671","002","","13","3.625","53.8",".",".",".",".","7.7",".","38.5",".",".",".",".",".",".",".","."
"671","003","","13","4.000","15.4",".",".",".",".",".",".","84.6",".",".",".",".",".",".",".","."
"671","004","","18","4.000","55.6",".",".",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"671","005","","33","4.000","54.5",".",".",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"671","201","","8","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"671","202","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"671","203","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Small Animl Med","Course Total","","110","3.942","46.4",".",".",".",".","0.9",".","52.7",".",".",".",".",".",".",".","."
"672
Sr Rotation:Theriogenology","001","","31","4.000","9.7",".",".",".",".",".",".","90.3",".",".",".",".",".",".",".","."
"674
Sr Rotation:Ambulatory Serv","001","","18","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"675","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"675","006","","8","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"675","008","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","009","","35","4.000","2.9",".",".",".",".",".",".","97.1",".",".",".",".",".",".",".","."
"675","010","","24","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"675","011","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","012","","15","4.000","6.7",".",".",".",".",".",".","93.3",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","129","4.000","11.6",".",".",".",".",".",".","88.4",".",".",".",".",".",".",".","."
"699
Directed Study","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"703
Production Medicine II","001","","12","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"705
Prod Med III-Appl Dy Nutr","001","","12","4.000","41.7",".",".",".",".",".",".","58.3",".",".",".",".",".",".",".","."
"775","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
