"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"691","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"692","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"698","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"698","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","31","3.971","90.3","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","3.2"
"700
Intro Prosmr-Grad Students","001","","36","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"726
Population and Development","001","","12","3.591","41.7","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","8.3"
"729
Mgmt&Labr-Organzatl Flxblty","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"749
Soc Pol&Mgmt-National Parks","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"751
Survey Rsch:Dsgn&Measuremnt","001","","23","3.737","43.5","34.8","4.3",".",".",".",".","17.4",".",".",".",".",".",".",".","."
"755
Methods-Qualitative Resch","001","","20","3.632","40.0","40.0","15.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"773
Intermediate Soc Theory","001","","27","3.778","59.3","37.0","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"913
Seminar-Social Change","001","","12","3.750","41.7","41.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"915
Seminar-Sociological Theory","001","","15","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Smr-Rsch in Sociol of Med","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922
Smr-Race & Ethnic Relations","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"924
Seminar-Political Sociology","001","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940
Smr: Sociol-Econ Change","001","","9","3.611","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"945
Seminar-Rural Sociology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"948
Smr: Envir & Resource Soc","001","","6","3.833","33.3","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","33.3"
"952
Math&Stat Applications-Soc","001","","32","3.810","59.4","28.1","3.1",".",".",".",".","9.4",".",".",".",".",".",".",".","."
"984
Rsch:Smr-Sociol of Gender","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"985
Rsch:Sci,Tech,Ag,Rscs&Envir","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","9","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"988
Deviance/Law/Social Control","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
