"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"310
Intro Phmcol-Drugs&Actions","001","","24","3.479","45.8","8.3","41.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"324
Pharmaceutical Analysis","001","","117","2.664","9.4","7.7","18.8","39.3","22.2","2.6",".",".",".",".",".",".",".",".",".","."
"352
Physical Pharmacy","002","","115","2.830","18.3","14.8","12.2","26.1","27.8","0.9",".",".",".",".",".",".",".",".",".","."
"401
Survey of Pharmacology","001","","117","3.530","52.1","14.5","26.5","2.6","3.4","0.9",".",".",".",".",".",".",".",".",".","."
"431
Medicinal Chemistry","001","","109","2.628","6.4","8.3","33.9","16.5","30.3","4.6",".",".",".",".",".",".",".",".",".","."
"445
Pharmaceut Biotechnology","001","","71","3.035","18.3","8.5","45.1","21.1","5.6","1.4",".",".",".",".",".",".",".",".",".","."
"458
Drug Delivery Systems","001","","111","2.716","5.4","14.4","25.2","27.9","27.0",".",".",".",".",".",".",".",".",".",".","."
"459
Drug Delivery Systems Lab","001","","109","3.794","74.3","11.9","11.9","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"465
Phmcol:Non-Prescriptn Drugs","001","","66","3.262","31.8","18.2","28.8","9.1","10.6",".",".","1.5",".",".",".",".",".",".",".","."
"472
Pharmacology II","001","","123","2.935","23.6","11.4","26.8","17.9","14.6","4.9","0.8",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","12","3.318","41.7","8.3","25.0",".","16.7",".",".",".",".",".",".",".",".",".","8.3","."
"640
Substnc Abuse&Chem Dependnc","001","","20","3.000","15.0","15.0","40.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","24","3.886","83.3","4.2",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"770
Pharmaceutical Biochemistry","001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"780
Special Topics-Pharm Sci","001","","17","3.265","11.8","41.2","41.2",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"890
Chem-Biology Interface I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910
Topics:Chem-Biol Intrface I","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"931
Conference-Research Workers","003","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","26","3.955","80.8","3.8",".",".",".",".",".","11.5","3.8",".",".",".",".",".",".","."
"999
Advanced Independent Study","048","","10","4.000","40.0",".",".",".",".",".",".",".",".",".",".","60.0",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 359 of 373",""
