"MED","","","","","","","","","","","","","","","","","","","","",""
"","OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","",""
"","812","001","","39","3.333","10.3","56.4","23.1",".",".",".","2.6",".",".",".",".",".",".",".","2.6","5.1"
"","812","002","","28","3.411","17.9","50.0","28.6","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Obs & Gynecology","","Course Total","","67","3.367","13.4","53.7","25.4","1.5",".",".","1.5",".",".",".",".",".",".",".","1.5","3.0"
"Individualized 4th Yr Clerk","919","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gynecol Oncology Clerk-CSC","921","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Inpt-Outpt Clerk-Marshfield","922","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reproduct Med Clerkshp-CSC","924","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"High Risk Obst Clrk-Meriter","925","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ObGyn Inpatnt Clrk-LaCrosse","927","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"OBS&GYN
436","","Dept. Total","","83","3.426","24.1","47.0","22.9","1.2",".",".","1.2",".",".",".",".",".",".",".","1.2","2.4"
