"TERM : 0972","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 1996-97","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"SURGERY","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","","","","","",""
"SURGERY
936","Dept. Total","210","3.482","40.0","39.5","15.2","2.4","1.9","",".","0.5","0.5","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","","","","","",""
"Special","","8","3.786","50.0","37.5",".",".",".","",".",".","12.5","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","74","3.331","28.4","35.1","23.0","6.8","5.4","",".","1.4",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","128","3.697","46.1","42.2","11.7",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","202","3.474","39.6","39.6","15.8","2.5","2.0","",".","0.5",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","210","3.482","40.0","39.5","15.2","2.4","1.9","",".","0.5","0.5","",".",".","",".","",".","",".",".",".","."
