"MEDICAL HISTORY AND BIOETH Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","",""
"The Physician in History","212","001","","11","3.318","9.1","45.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504","001","","7","3.667","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"Health, Disease & Healing I","507","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Dev Public Health-America","509","001","","11","3.636","54.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Women & Health-Amer History","531","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Ethics & Hist of Med","559","001","","7","2.857",".","57.1","28.6",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Medicine Since 1750","575","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"War and Medicine","591","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Study in Med History","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Studies-Medical Hist","901","001","","6","3.800","50.0","33.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Bioethics and the Law","905","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","999","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"MED HIST
452","","Dept. Total","","65","3.338","24.6","36.9","21.5","3.1","4.6",".","1.5","6.2",".",".",".",".",".","1.5",".","."
