"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120
001","265","2.604","8.7","17.7","18.1","23.0","17.7","11.3","1.5","1.5",".",".",".",".",".",".",".","0.4"
"Contemporary Amer Society","125
001","273","2.899","16.1","16.5","27.8","18.3","17.2","2.9","0.7",".",".",".",".",".",".","0.4",".","."
"Criminal Justice in America","131
001","109","3.344","29.4","33.0","26.6","6.4","1.8","1.8","0.9",".",".",".",".",".",".",".",".","."
"","134
001","96","3.308","14.6","49.0","15.6","11.5","4.2",".",".","4.2",".",".",".",".",".",".",".","1.0"
"","002
134","93","3.408","47.3","12.9","26.9","5.4","4.3",".","2.2","1.1",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","189","3.351","30.7","31.2","21.2","8.5","4.2",".","1.1","2.6",".",".",".",".",".",".",".","0.5"
"","001
138","104","3.442","42.3","29.8","17.3","1.0","7.7","1.0","1.0",".",".",".",".",".",".",".",".","."
"","138
002","24","3.708","45.8","50.0","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Sociology of Gender","Course Total","128","3.482","43.0","33.6","14.8","0.8","6.3","0.8","0.8",".",".",".",".",".",".",".",".","."
"Intro-Rural Sociology","140
001","14","3.500","35.7","57.1",".",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","160
001","131","2.736","11.5","21.4","22.1","13.0","19.8","6.1","3.1","2.3",".",".",".",".",".","0.8",".","."
"","002
160","60","2.433","8.3","8.3","25.0","11.7","33.3","10.0","3.3",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","Course Total","191","2.657","10.5","17.3","23.0","12.6","24.1","7.3","3.1","1.6",".",".",".",".",".","0.5",".","."
"Population Problems","170
001","11","3.545","36.4","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Hnrs Smr:Sociolgl Enterprse","181
001","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199
016","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","87","3.075","21.8","19.5","35.6","9.2","9.2","3.4","1.1",".",".",".",".",".",".",".",".","."
"","211
001","34","3.250","26.5","23.5","32.4","8.8","8.8",".",".",".",".",".",".",".",".",".",".","."
"","211
002","27","3.111","40.7","11.1","22.2","11.1","7.4",".","7.4",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","Course Total","61","3.189","32.8","18.0","27.9","9.8","8.2",".","3.3",".",".",".",".",".",".",".",".","."
"","220
001","40","3.526","45.0","30.0","15.0","2.5","2.5","2.5",".","2.5",".",".",".",".",".",".",".","."
"","002
220","21","3.357","33.3","33.3","19.0","9.5",".","4.8",".",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","Course Total","61","3.467","41.0","31.1","16.4","4.9","1.6","3.3",".","1.6",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","6","3.167","50.0","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Organizations and Society","250
001","51","3.240","33.3","19.6","15.7","17.6","5.9",".","2.0","5.9",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252
001","11","3.136","18.2","18.2","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","001
277","19","3.316","26.3","21.1","47.4",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Honors Tutorial","288
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
001","41","3.524","29.3","51.2","14.6","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","357
002","41","3.347","31.7","24.4","29.3","12.2","2.4",".",".",".",".",".",".",".",".",".",".","."
"","357
003","40","3.250","32.5","30.0","17.5","10.0","2.5","7.5",".",".",".",".",".",".",".",".",".","."
"","004
357","30","3.183","26.7","33.3","20.0","10.0","3.3","3.3","3.3",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","152","3.337","30.3","34.9","20.4","9.2","2.0","2.6","0.7",".",".",".",".",".",".",".",".","."
"","360
001","36","3.000","25.0","30.6","16.7","8.3","8.3","5.6","5.6",".",".",".",".",".",".",".",".","."
"","002
360","44","3.430","54.5","15.9","11.4","4.5","6.8","2.3","2.3",".",".",".",".",".",".",".",".","2.3"
"Stats for Sociologists I","Course Total","80","3.234","41.3","22.5","13.8","6.3","7.5","3.8","3.8",".",".",".",".",".",".",".",".","1.3"
"Stats for Sociologists II","361
001","23","3.522","47.8","30.4","13.0","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362
001","28","3.560","42.9","21.4","17.9","7.1",".",".",".","10.7",".",".",".",".",".",".",".","."
"Processes-Deviant Behavior","001
421","97","3.154","25.8","37.1","14.4","10.3","4.1","5.2","3.1",".",".",".",".",".",".",".",".","."
"Criminology","441
001","103","3.132","22.3","23.3","24.3","18.4","9.7","1.0",".",".",".",".",".",".",".",".",".","1.0"
"","475
001","23","2.818","26.1","13.0","17.4","4.3","21.7","13.0",".",".",".",".",".",".",".","4.3",".","."
"","002
475","33","2.470","24.2","9.1","18.2","18.2","3.0","12.1","15.2",".",".",".",".",".",".",".",".","."
