"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"American Economy to 1865","465","001","","12","3.583","41.7","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Grwth&Devlpmnt-SE Asia","473","001","","15","3.400","46.7","13.3","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Urban Transport Economics","478","001","","9","3.389","33.3","33.3","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Game Theory & Economic Anal","521","001","","14","2.450","7.1","7.1","21.4",".","21.4","14.3",".","28.6",".",".",".",".",".",".",".","."
"Philosophy and Economics","524","001","","12","2.750",".","25.0","33.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Ind Rel-Develping Countries","552","001","","7","3.000","42.9",".","42.9",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Pub Finance-Less Dev Cntry","567","001","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grth&Cl Struc-LowIncCntries","577","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tutorial-Rsch Project Dsgn","590","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Compar IR-Devel Countries I","628","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Population and Society","663","001","","9","3.389","33.3","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Internatl Trade","664","001","","8","2.875","12.5","37.5",".","37.5",".","12.5",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Mathematical Economics I","703","001","","25","3.375","20.0","40.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".","4.0","."
"Econ Stats & Econometrics I","709","001","","43","3.337","27.9","20.9","46.5",".","4.7",".",".",".",".",".",".",".",".",".",".","."
"","711","001","","29","3.397","34.5","27.6","27.6","3.4","6.9",".",".",".",".",".",".",".",".",".",".","."
"","711","002","","23","3.435","30.4","34.8","30.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","","Course Total","","52","3.413","32.7","30.8","28.8","1.9","5.8",".",".",".",".",".",".",".",".",".",".","."
"","712","001","","15","3.333","20.0","26.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712","002","","17","3.594","47.1","17.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".","5.9"
"Thry: Macroeconomics Seqnce","","Course Total","","32","3.468","34.4","21.9","40.6",".",".",".",".",".",".",".",".",".",".",".",".","3.1"
"Econometric Methods","715","002","","19","3.500","26.3","47.4","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics 3","719","001","","13","3.458","38.5","23.1","15.4","15.4",".",".",".","7.7",".",".",".",".",".",".",".","."
"Mgmt&Labr-Organzatl Flxblty","729","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Regional Econ Prob Analysis","734","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Monetary & Financial Theory","735","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","741","002","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor Economics","750","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Empir Anal-Ind Org&Pub Pol","762","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Development Planning & Adm","771","001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Microeconomic Theory I","805","002","","10","3.100","40.0",".","30.0",".","30.0",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics - Public Finance","845","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
