"MED","","","","","","","","","","","","","","","","","","","","",""
"NEUROLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","","",""
"","812","001","","37","3.432","27.0","37.8","29.7","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"","812","002","","33","3.469","15.2","60.6","21.2",".",".",".",".",".",".",".",".",".",".",".",".","3.0"
"Third Year Neurology","","Course Total","","70","3.449","21.4","48.6","25.7","2.9",".",".",".",".",".",".",".",".",".",".",".","1.4"
"Clin Neurol Consul Serv-CSC","922","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Neurol-Outpt Clerk-CSC","923","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neuromusc Disease Clerk-CSC","924","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Clerk Neurology-VAH","927","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Neurological Fields","990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"NEUROL
676","","Dept. Total","","76","3.478","26.3","44.7","25.0","2.6",".",".",".",".",".",".",".",".",".",".",".","1.3"
