"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"612","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Mgmt-Adv Nurs Prac","Course Total","","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"613","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"613","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"613","004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","005","","21","3.782","57.1","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptrshp-Nurse Practitnr","Course Total","","48","3.840","75.0","20.8","2.1",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"672
Clinicl Educ-Nursing Pract","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"682","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"698","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","016","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"698","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","11","3.813","72.7","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"700
Nursing Research I","001","","23","3.457","21.7","56.5","17.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"701
Interpretv Rsch-Health Care","001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"713
Family Process,Hlth&Illness","001","","14","3.667","50.0","21.4","7.1","7.1",".",".",".","7.1",".",".",".",".",".",".",".","7.1"
"715","001","","28","3.661","50.0","32.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"715","002","","9","3.611","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"715","003","","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"715","004","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt Hlth Probs-Ambul Settng","Course Total","","54","3.626","44.4","37.0","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"719","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
