"MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPHTHALMOLOGY AND VISUAL  Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"812
001","","39","3.564","17.9","76.9","5.1",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"812
002","","33","3.734","48.5","45.5","3.0",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".","3.0","."
"Course Total
Third Year Ophthalmology","","72","3.641","31.9","62.5","4.2",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.4","."
"820
001
Ophthalmology Selective","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"919
001
Indiv 4th Yr Clin Clerkship","","2","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"OPHTHALM
Dept. Total
702","","75","3.673","33.3","61.3","4.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.3","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 3","","58","3.681","37.9","58.6","1.7",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.7","."
"Prof Yr 4","","17","3.652","17.6","70.6","11.8",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","75","3.673","33.3","61.3","4.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.3","."
"Dept. Total","","75","3.673","33.3","61.3","4.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.3","."
