"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105
Health Care: Intrdis Appr","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"411
Principles-Soc & Adm Phcy I","001","","117","3.474","34.2","37.6","20.5","4.3","3.4",".",".",".",".",".",".",".",".",".",".","."
"561
Greek & Roman Med & Phcy","001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"613
Drug Marketing","001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"621
Community Phcy Management","001","","14","3.321","21.4","21.4","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"622","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"622","002","","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem:Social & Behav Phcy","Course Total","","28","3.911","82.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630
Pharm Finance&Reimbursement","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","6","3.923","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Conference-Research Workers","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Smr-Rsch in Sociol of Med","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","8","4.000","62.5",".",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"999","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
