"MEDICINE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","",""
"Toxicology I","625","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","155","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","162","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","163","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812","001","","24","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812","002","","22","3.750","54.5","40.9","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812","003","","25","3.600","36.0","48.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin Int Med-Basic Clrkship","","Course Total","","71","3.592","38.0","42.3","19.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","910","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Therapeut&Cl Pharmacol-VAH","915","002","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","919","001","","7","3.846","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Req 4th Yr Med Subintrnshp","920","001","","98","3.731","57.1","31.6","11.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulat Med Clerk-Stdt Hlth","921","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"General Internal Med Clinic","922","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Med Clerkship-Meriter","923","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Med Clerkship-VAH","924","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Out/Inpatnt Hem/Onc Clrkshp","934","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Allergy&ClinImmun Clerk-CSC","940","001","","10","3.947","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Allergy Clerkshp-Marshfield","941","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiol Consult Serv-CSC","943","001","","7","3.214",".","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Cardiol Clerkshp-VAH","944","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Acute Care Med Cardiol-Milw","945","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Cl Electrocardiography-CSC","952","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dermatology Clerkship-CSC","953","001","","23","3.977","91.3","4.3",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Dermatology Clerk-Marshfld","954","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Emergency Med Clerkshp-Milw","956","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Emergency Med Clrk-Meriter","957","001","","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Emergency Med Clerkshp-CSC","960","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Nutrition Counslng Clrk-CSC","963","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gastroenterology Clerk-CSC","965","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Infect Disease Clerkshp-CSC","971","001","","12","3.636","33.3","50.0","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Infect Disease Clerkshp-VAH","972","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Infect Disease Clerk-Milw","974","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cl Nephrology Clerk-CSC/VAH","976","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pulmonary Disease Clerk-CSC","981","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Crit Care-ICU Subintrn-Milw","984","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Critical Care Medicine-CSC","985","001","","23","3.614","39.1","39.1","17.4",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Critical Care Medicine-VAH","986","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Crit Care/Med ICU-Marshfld","987","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 329 of 373",""
