"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"415","001","","31","3.645","41.9","48.4","6.5","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"415","002","","24","3.667","45.8","41.7","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Pharm Externship","Course Total","","55","3.655","43.6","45.5","9.1","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"470
Computr Applic Phmcy Pract","001","","39","3.577","35.9","48.7","12.8",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"490","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"490","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490","003","","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","","13","3.438","30.8","46.2","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"570
Drug Literature Evaluation","001","","24","3.729","66.7","16.7","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"600
Interdis Rur Prim Hlth Care","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"612
Radiopharmaceuticals","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"616
Institutional Pharmcy Pract","001","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"662","001","","23","3.391","43.5","17.4","21.7","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"662","002","","24","3.583","50.0","20.8","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Inpatient Clerkshp&Extrnshp","Course Total","","47","3.489","46.8","19.1","23.4","6.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"663","001","","24","3.482","41.7","25.0","20.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"663","002","","20","3.722","55.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Outpatient Clerkship","Course Total","","44","3.594","47.7","31.8","13.6","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"664","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"664","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","4","***","","","","","","","","","","","","","","","",""
"665
Nuclear Pharmacy Clerkship","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"666
Advanced Inpatient Clerkshp","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","202","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","28","3.745","71.4","7.1","17.9",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"740","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"740","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharmacy Specialty Clerkshp","Course Total","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741
Ambulatry Phmceut Care Clrk","001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 361 of 373",""
