"","THERAPEUTIC SCI (DEPT-KINES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100","001","39","3.718","59.0","28.2","10.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Terminology","148","001","54","3.779","70.4","18.5","1.9","1.9","3.7",".",".","3.7",".",".",".",".",".",".",".","."
"Foundatns-Phy Ther Practice","427","001","60","3.708","66.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","438","001","30","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","438","002","30","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro-Clin Prac in Phy Ther","","Course Total","60","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Neurology","502","001","101","3.995","98.0","1.0",".",".",".",".",".",".",".",".",".",".",".",".","1.0","."
"Orthopedics","503","001","102","3.907","85.3","10.8","3.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clrkshp-Assist&Rehab Technl","521","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Phy Ther Procedures II","522","001","58","3.138","5.2","22.4","67.2","5.2",".",".",".",".",".",".",".",".",".",".",".","."
"Cardiopulmonary Rehab","523","001","58","3.379","19.0","43.1","32.8","5.2",".",".",".",".",".",".",".",".",".",".",".","."
"Therapeutic Use of Activity","524","001","46","3.413","17.4","52.2","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Occupatnl Perfrmnc","530","001","46","3.457","17.4","56.5","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Therapeutic Exercise II","535","001","59","3.873","78.0","20.3",".","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Occ Ther Pro Practice","538","001","45","3.678","44.4","48.9","4.4","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ther Clin Practice II","540","001","59","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Adp&Cnst Eqp-Peopl/Disbilts","546","001","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Scientific Inquiry","570","001","60","3.658","45.0","41.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatn-Phys Disablties I","639","001","44","3.705","47.7","45.5","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry-Occup,Adaptn,Mntl Hlth","648","001","44","3.807","70.5","20.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Mental Health","649","001","44","3.784","75.0","20.5","2.3",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"Clinical Internship II","651","001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Internship III","652","001","46","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","662","001","22","",".",".",".",".",".",".",".",".",".","95.5","4.5",".",".",".",".","."
"","662","002","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Fieldwork in Mental Health","","Course Total","43","",".",".",".",".",".",".",".",".",".","97.7","2.3",".",".",".",".","."
"","664","001","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","664","002","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Fieldwork-Physical Disabil","","Course Total","43","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","665","001","29","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","665","002","30","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Smr-Phy Ther Mgmnt Strategy","","Course Total","59","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Special Topics","775","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","791","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","791","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","791","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 106 of 373",""
