"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"","475","003","35","2.800","14.3","20.0","25.7","20.0","11.4","2.9","5.7",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","91","2.683","20.9","14.3","20.9","15.4","11.0","8.8","7.7",".",".",".",".",".",".","1.1",".","."
"Contemporary Soc Theory","476","001","14","3.500","35.7","28.6","21.4","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"Topics-Soc: Study Abroad","497","201","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Social Psychology","530","002","58","2.931","17.2","15.5","32.8","15.5","15.5","1.7","1.7",".",".",".",".",".",".",".",".","."
"","535","001","47","3.739","48.9","46.8","2.1",".",".",".",".",".",".",".",".",".",".","2.1",".","."
"","535","002","20","3.737","45.0","50.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".","."
"Language&Social Interaction","","Course Total","67","3.738","47.8","47.8","1.5",".",".",".",".",".",".",".",".",".",".","3.0",".","."
"Public Opinion","536","001","20","3.605","65.0","10.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".","5.0",".","."
"Social Behavior Dynamics","537","001","16","3.200","25.0","12.5","31.3","25.0",".",".",".",".",".",".",".",".",".","6.3",".","."
"Small Groups","538","001","34","3.063","29.4","8.8","23.5","20.6","8.8",".","2.9",".",".",".",".",".",".","5.9",".","."
"Rur Minority Grp&Povrty-U S","578","001","24","3.500","29.2","45.8","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Agriculture,Technol&Society","612","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sociology of Religion","615","001","22","3.864","77.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Culture","616","001","22","3.571","54.5","13.6","13.6","13.6",".",".",".",".",".",".",".",".",".",".",".","4.5"
"Community Development","617","001","16","3.469","37.5","37.5","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Compar Societal Analysis","620","001","13","3.541","38.5","38.5","7.7",".","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"Class,State&Ideol:IntroMarx","621","001","10","3.400","40.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Political Sociology","624","001","17","3.367","23.5","23.5","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","11.8"
"Social Change","625","001","26","3.462","38.5","30.8","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Compar IR-Devel Countries I","628","001","6","3.167",".","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","22","3.659","63.6","9.1","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Complex Organization","632","001","26","3.600","42.3","34.6","15.4","3.8",".",".",".",".",".",".",".",".",".",".",".","3.8"
"Social Stratification","633","001","30","3.431","50.0","10.0","20.0","6.7","10.0",".",".",".",".",".",".",".",".",".",".","3.3"
"Sociology of the Family","640","001","28","3.371","42.9","17.9","21.4","7.1","10.7",".",".",".",".",".",".",".",".",".",".","."
"Sociology and Law","641","001","102","2.985","22.5","16.7","23.5","17.6","16.7","2.0","1.0",".",".",".",".",".",".",".",".","."
"Race and Ethnic Relations","646","001","25","3.400","24.0","32.0","44.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Education","648","001","22","3.045","18.2","27.3","40.9",".","4.5","4.5","4.5",".",".",".",".",".",".",".",".","."
"Sociology of Agriculture","650","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Economic Sociology II","652","001","11","3.833","63.6","9.1","9.1",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Population and Society","663","001","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rural Populatn Trends&Probs","666","001","6","3.500","33.3","16.7","33.3",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"Urbanism and Urbanization","677","001","12","3.000","8.3","25.0","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".","8.3"
"","681","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
