"MEDICAL SCIENCES - MED SCH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Directed Study","699
012","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","703
001","99","3.061","21.2",".","63.6",".","15.2",".",".",".",".",".",".",".",".",".",".","."
"","703
002","46","3.391","45.7",".","47.8",".","6.5",".",".",".",".",".",".",".",".",".",".","."
"Hematology","Course Total","145","3.166","29.0",".","58.6",".","12.4",".",".",".",".",".",".",".",".",".",".","."
"","706
001","116","3.310","47.4",".","36.2",".","16.4",".",".",".",".",".",".",".",".",".",".","."
"","706
002","30","3.517","50.0",".","46.7",".",".",".",".",".",".",".",".",".",".",".",".","3.3"
"Cardiovascular System","Course Total","146","3.352","47.9",".","38.4",".","13.0",".",".",".",".",".",".",".",".",".",".","0.7"
"Renal","709
001","126","2.952","27.8",".","39.7",".","32.5",".",".",".",".",".",".",".",".",".",".","."
"Respiratory System","715
001","150","3.680","74.0",".","20.0",".","6.0",".",".",".",".",".",".",".",".",".",".","."
"Psychiatry","716
001","73","3.575","61.6",".","34.2",".","4.1",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology","717
001","143","3.413","50.3",".","42.0",".","7.0",".","0.7",".",".",".",".",".",".",".",".","."
"Autopsy Pathology","718
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Neoplastic Diseases","721
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neuroscience","731
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Generalst Physician Partnrs","800
001","143","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","802
001","122","3.516","58.2",".","36.9",".","4.1",".","0.8",".",".",".",".",".",".",".",".","."
"","002
802","26","3.769","76.9",".","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Medicine & Practice II","Course Total","148","3.561","61.5",".","34.5",".","3.4",".","0.7",".",".",".",".",".",".",".",".","."
"MED SC-M
622","Dept. Total","1085","3.405","43.0",".","33.0",".","9.7",".","0.2","14.0",".",".",".",".",".",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Senior","","4","3.667","50.0",".","25.0",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Undergraduates","","4","3.667","50.0",".","25.0",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Special","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","5","2.727",".",".","60.0",".","20.0",".",".","20.0",".",".",".",".",".",".",".","."
"Prof Yr 1","","188","3.486","11.7",".","11.2",".","0.5",".",".","76.6",".",".",".",".",".",".",".","."
"Prof Yr 2","","883","3.403","50.1",".","37.6",".","11.7",".","0.2","0.3",".",".",".",".",".",".",".","0.1"
"Prof Yr 3","","3","3.000",".",".","33.3",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","1075","3.407","43.2",".","32.9",".","9.7",".","0.2","14.0",".",".",".",".",".",".",".","0.1"
"","Dept. Total","1085","3.405","43.0",".","33.0",".","9.7",".","0.2","14.0",".",".",".",".",".",".",".","0.1"
