"","490
028","4","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","490
030","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Special Topics in Nursing","Course Total","24","3.788","62.5","33.3","4.2","",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Capstone Practicum for RN's","519
001","7","3.844","71.4","28.6",".",".","",".",".","",".",".","",".","",".",".","",".","",".",".",".","."
"CNP
691","Dept. Total","100","3.745","63.0","27.0","6.0","",".","2.0","",".","1.0","",".","",".",".","",".","",".","1.0",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".","",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","36","3.730","58.3","30.6","8.3","",".","2.8","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","62","3.746","64.5","25.8","4.8","",".","1.6","",".","1.6","",".","",".",".","",".","",".","1.6",".",".","."
"Undergraduates","","100","3.745","63.0","27.0","6.0","",".","2.0","",".","1.0","",".","",".",".","",".","",".","1.0",".",".","."
"","Dept. Total","100","3.745","63.0","27.0","6.0","",".","2.0","",".","1.0","",".","",".",".","",".","",".","1.0",".",".","."
