"EDU","","","","","","","","","","","","","","","","","","",""
"OCCUPATIONAL THER (DEPT-KI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","",""
"Prof Skills I: Prof Prac in OT","610
001","24","3.833","70.8","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Skills III: Org & Mgmt-OT","612
001","23","3.457","47.8","8.7","34.8","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Occupational-based Thry & Prac","620
001","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess Occupationl Participatn","621
001","23","3.565","34.8","43.5","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Yng Adult Occs&Ther Interventn","623
001","25","3.520","32.0","44.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Level-I Fldwk: Adoles&Yng Adlt","626
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fieldwork in Mental Health","662
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Fieldwork-Physical Disabil","664
001","18","",".",".",".",".",".",".",".",".",".","94.4","5.6",".",".",".",".","."
"Sci Inq-OT I: Evidence-Based","671
001","24","3.813","70.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci Inq-OT III: Data Coll&Anal","673
001","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"OCC THER
695","Dept. Total","225","3.696","54.7","20.0","9.3","0.9","0.4",".",".",".",".","14.2","0.4",".",".",".",".","."
