"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Biomedical Engr Design","001","","29","3.397","10.3","58.6","31.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"300
Biomed Engineering Design","001","","36","3.597","41.7","36.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"315
Biomechanics","001","","47","3.433","25.5","44.7","19.1",".","6.4",".",".","4.3",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","17","3.947","88.2",".","5.9",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"400
Capstone Design Course","001","","57","3.684","43.9","50.9","3.5","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"462
Medical Instrumentation","001","","12","3.583","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"463
Computers in Medicine","001","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Intro to Tissue Engineering","001","","31","3.532","38.7","32.3","25.8","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"517
Biology in Engineering Seminar","001","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"560
Biochemical Engineering","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"567
Physics-Diagnostic Radiol","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"573
Med Imag Sci:Determnistc Aspct","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"601","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","002","","14","3.867","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","004","","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","005","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","006","","20","3.792","60.0","15.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Biomed Engr","Course Total","","57","3.750","63.2","19.3","17.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"615
Tissue Mechanics","001","","26","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
