"SENIOR MEDICAL PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","",""
"928","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Pathology","Course Total","","2","***","","","","","","","","","","","","","","","",""
"929","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"929","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"929","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"929","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"929","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"929","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Pediatrics","Course Total","","8","3.650","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"931
Extramur Elect-Psychiatry","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"932","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Radiology","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"934","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"934","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"934","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"934","042","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"934","043","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"934","044","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Extramur Elect-Surgery","Course Total","","29","3.929","86.2","13.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"936","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"936","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"936","042","","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"936","043","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"936","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elec-Emergency Med","Course Total","","20","3.718","50.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"937","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"937","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"937","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramural Elect-Intl Health","Course Total","","4","***","","","","","","","","","","","","","","","",""
