"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699","039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","041","","14","3.214",".","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"812","042","","11","3.091","9.1","18.2","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"812","043","","14","3.357","7.1","64.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"812","044","","15","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","045","","14","3.429","7.1","71.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","046","","12","3.375","8.3","58.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","80","3.338","8.8","55.0","31.3","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"919
Individualized 4th Yr Clerk","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921
Behav Med Clerk-LaCrosse","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","Course Total","","5","***","","","","","","","","","","","","","","","",""
"923
SpecAdultPsychClerk-Mendota","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924
Child Psych Clerk-Mendota","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"925","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"925","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Psy Clerk-CSC/MHC","Course Total","","5","***","","","","","","","","","","","","","","","",""
"946
Child Psych Clerk-CSC","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PSYCHIAT
814","Dept. Total","","102","3.453","27.5","43.1","25.5","3.9",".",".",".",".",".",".",".",".",".",".",".","."
