"RADIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","",""
"699","215","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","219","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"813","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","003","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","004","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","005","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"813","007","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","008","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","009","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","010","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","012","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiology Clerkship","Course Total","","78","3.865","75.6","21.8","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"910","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"910","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"923","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Nuclr Med Clerk-CSC/VA","Course Total","","2","***","","","","","","","","","","","","","","","",""
