"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"699","102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","113","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","116","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","126","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","131","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","134","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","138","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","140","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","081","","26","3.000","3.8","11.5","57.7","19.2",".",".",".",".",".",".",".",".","7.7",".",".","."
"812","082","","27","3.407","29.6","25.9","40.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"812","083","","27","3.352","18.5","37.0","40.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Surgery","Course Total","","80","3.265","17.5","25.0","46.3","8.8",".",".",".",".",".",".",".",".","2.5",".",".","."
"910","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","083","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","10","3.769","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surgery Clerkship-CSC","Course Total","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 381 of 407",""
