"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105
Health Care: Intrdis Appr","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"411
Psychosoc & Mgmt Aspects-Pharm","001","","136","3.581","40.4","39.7","14.7","3.7","0.7",".",".",".",".",".",".",".",".",".",".","0.7"
"561
Greek & Roman Med & Phcy","001","","10","3.889","80.0",".","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"618
Prof Decision-Making/Phm Pract","001","","120","3.700","50.0","40.8","8.3","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","112","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","8","3.864","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"713
Pharmaceuticl Marketing&Policy","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"911
Conference-Research Workers","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"S&A PHM
732","Dept. Total","","303","3.661","49.8","34.3","10.6","2.0","0.3",".",".","2.6",".",".",".",".",".",".",".","0.3"
