"SENIOR MEDICAL PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","",""
"812","081","","25","3.560","32.0","48.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","082","","27","3.370","22.2","37.0","33.3","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"812","083","","26","3.750","53.8","42.3","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Yr Primary Care Clrkshp","Course Total","","78","3.558","35.9","42.3","19.2","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"813","061","","22","3.318","18.2","31.8","45.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"813","062","","15","3.333","26.7","20.0","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"813","063","","24","3.313","12.5","41.7","41.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"813","064","","20","3.395","20.0","40.0","30.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"Integrated Cl Neurosci Clrkshp","Course Total","","81","3.338","18.5","34.6","40.7","4.9",".",".",".",".",".",".",".",".","1.2",".",".","."
"840","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"840","062","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"840","063","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","064","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","081","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec 4th Yr Precept/Clrkshp","Course Total","","28","3.931","89.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"852","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"852","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Ashland","Course Total","","2","***","","","","","","","","","","","","","","","",""
"853","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"853","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"853","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Beaver Dam","Course Total","","3","***","","","","","","","","","","","","","","","",""
"854","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"854","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Beloit","Course Total","","2","***","","","","","","","","","","","","","","","",""
"855
Preceptorship-Blk Riv Falls","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"856","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"856","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Eau Claire","Course Total","","4","***","","","","","","","","","","","","","","","",""
"858","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"858","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Green Bay","Course Total","","2","***","","","","","","","","","","","","","","","",""
"859
Preceptorship-Janesville","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"860","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"860","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-LaCrosse","Course Total","","2","***","","","","","","","","","","","","","","","",""
"862","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"862","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Marshfield","Course Total","","2","***","","","","","","","","","","","","","","","",""
"863
Preceptorship-Milwaukee","036","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"864
Preceptorship-Monroe","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"865
Preceptorship-Rhinelander","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"866
Preceptorship-Rice Lake","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"867","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 377 of 407",""
