"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"916","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Palliative Care (CSC)","Course Total","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","14","3.900","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","041","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","042","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","043","","16","3.719","62.5","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"920","044","","22","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","045","","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","046","","9","3.556","66.7",".","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Req 4th Yr Med Subintrnshp","Course Total","","102","3.814","74.5","16.7","5.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"921","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulat Med Clerk-Stdt Hlth","Course Total","","6","3.929","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"930","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Women's Health in Primary Care","Course Total","","3","***","","","","","","","","","","","","","","","",""
"931
Geriatric Med-Milwaukee","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"933
Geriat Subinternshp-CSC/VAH","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"936
Medical Oncology Clinics","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Allergy&ClinImmun Clerk-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"943","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 349 of 407",""
