"COLLABORATIVE NURSING PRG Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","",""
"Narrative Anal-Nursing Prac","306
001","17","3.588","76.5","11.8",".",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Health Assessment","317
003","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theoretical Foundations","341
003","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nursing Research","434
003","13","3.423","23.1","53.8","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Mgmt & Leadershp in Nursing","437
003","17","3.969","88.2","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Community Health Nursing","444
003","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
020","16","3.684","43.8","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
028","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","24","3.788","62.5","33.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RN's","519
001","7","3.844","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CNP
691","Dept. Total","100","3.745","63.0","27.0","6.0",".","2.0",".","1.0",".",".",".",".",".","1.0",".",".","."
