"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","150","2.795","16.7","14.7","18.7","16.7","30.0","2.0","0.7","0.7",".",".",".",".",".",".",".","."
"","100","002","162","2.653","12.3","15.4","14.8","16.0","34.6","4.9","0.6","0.6",".",".",".",".",".",".","0.6","."
"General Anthropology","","Course Total","312","2.722","14.4","15.1","16.7","16.3","32.4","3.5","0.6","0.6",".",".",".",".",".",".","0.3","."
"Archaeology & Prehist World","102","001","110","2.755","18.2","9.1","20.9","18.2","30.0","2.7","0.9",".",".",".",".",".",".",".",".","."
"","104","001","392","3.210","19.6","28.6","33.7","9.9","4.1","1.0","0.8","2.3",".",".",".",".",".",".",".","."
"","104","002","381","3.243","24.4","25.7","32.8","8.7","4.5","0.8","1.0","2.1",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","","Course Total","773","3.226","22.0","27.2","33.2","9.3","4.3","0.9","0.9","2.2",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","105","001","154","2.980","24.7","16.9","23.4","7.8","22.1","4.5",".","0.6",".",".",".",".",".",".",".","."
"Principles of Archaeology","112","001","106","3.114","28.3","13.2","35.8","3.8","14.2","3.8",".","0.9",".",".",".",".",".",".",".","."
"","120","001","18","3.500","27.8","50.0","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","120","002","20","3.525","45.0","15.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fr/Soph Seminar in Anthro","","Course Total","38","3.513","36.8","31.6","28.9","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","15","3.385","40.0","13.3","20.0",".","13.3",".",".","13.3",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","52","3.225","40.4","11.5","23.1","1.9","19.2","1.9",".",".",".",".",".",".",".",".","1.9","."
"Intro Ling-Descript&Theoret","301","001","31","3.194","22.6","35.5","16.1","16.1","6.5","3.2",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","10","3.500","60.0",".","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","310","001","37","2.986","16.2","18.9","32.4","16.2","8.1","5.4",".","2.7",".",".",".",".",".",".",".","."
"Indians of North America","314","001","94","2.742","11.7","14.9","24.5","14.9","29.8","2.1","1.1","1.1",".",".",".",".",".",".",".","."
"Emergence of Human Culture","321","001","83","3.069","32.5","10.8","26.5","4.8","15.7","4.8","1.2","2.4","1.2",".",".",".",".",".",".","."
"Peoples of the Andes Today","327","001","25","3.120","36.0","16.0","24.0","8.0","8.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"Elementary Quechua","361","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Quechua","363","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Jews of Central&Eastern Europe","372","001","30","3.520","46.7","26.7","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376","001","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anthropology of Law","448","001","20","3.500","40.0","25.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Anthropology of South Asia","462","001","16","3.633","50.0","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","6.3","."
"","490","001","16","3.906","93.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","490","002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","003","13","3.538","61.5",".","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","48","3.844","87.5",".","8.3","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"Biology of Mind","619","001","30","3.385","30.0","6.7","50.0",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"The Evolution of Human Diet","641","001","19","3.862","84.2",".","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Monuments and Symbols","677","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","690","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690","002","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","690","003","6","3.313","50.0",".","16.7",".","16.7",".",".","16.7",".",".",".",".",".",".",".","."
"Problems in Anthropology","","Course Total","31","3.884","87.1",".","3.2",".","3.2",".",".","6.5",".",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","696","079","9","3.944","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
