"MED","","","","","","","","","","","","","","","","","","","",""
"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.941","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","061","","20","3.675","40.0","55.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","17","3.618","29.4","64.7","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","18","3.500","16.7","61.1","16.7",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"812","064","","17","3.439","5.9","82.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Obs & Gynecology","Course Total","","72","3.565","23.6","65.3","8.3","1.4",".",".",".",".",".",".",".",".",".",".",".","1.4"
"875
Special Topics","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"910","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","2","***","","","","","","","","","","","","","","","",""
"919","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","4","***","","","","","","","","","","","","","","","",""
"921","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gynecol Oncology Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"922
Inpt-Outpt Clerk-Marshfield","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reproduct Med Clerkshp-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"925","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"High Risk Obst Clrk-Meriter","Course Total","","4","***","","","","","","","","","","","","","","","",""
"927","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"927","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ObGyn Inpatnt Clrk-LaCrosse","Course Total","","2","***","","","","","","","","","","","","","","","",""
"928
ObGyn Outptnt Clrk-LaCrosse","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Women's Reproductive Health","Course Total","","2","***","","","","","","","","","","","","","","","",""
"954
Endocrinlgy-Reprodctve Phys","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 337 of 407",""
