"OPHTHALMOLOGY AND VISUAL  Section","","#","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","","",""
"699","001","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","290","3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","292","3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","294","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","298","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","9","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"910","041","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"910","042","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"910","043","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"910","061","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"910","081","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"910","082","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","8","3.947","87.5","12.5","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"919","002","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"919","041","4","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"919","042","4","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Indiv 4th Yr Clin Clerkship","Course Total","9","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"OPHTHALM
702","Dept. Total","26","3.978","96.2","3.8","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Senior","","7","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Undergraduates","","9","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Prof Yr 4","","17","3.972","94.1","5.9","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Professionals","","17","3.972","94.1","5.9","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"","Dept. Total","26","3.978","96.2","3.8","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
