"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"632
Companion Animal&Equine Med I","001","","80","3.000","13.8","15.0","46.3","10.0","13.8","1.3",".",".",".",".",".",".",".",".",".","."
"634
Food Animal Medicine","001","","80","3.038","10.0","15.0","56.3","10.0","8.8",".",".",".",".",".",".",".",".",".",".","."
"667
Small Animal Neurology","001","","12","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"668
Clin Dermatology Rotation","001","","16","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"669","001","","17","4.000","41.2",".",".",".",".",".",".","58.8",".",".",".",".",".",".",".","."
"669","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","Course Total","","18","4.000","44.4",".",".",".",".",".",".","55.6",".",".",".",".",".",".",".","."
"670
Sr Rotation:Lrge Animal Med","001","","33","4.000","6.1",".",".",".",".",".",".","93.9",".",".",".",".",".",".",".","."
"672
Sr Rotation:Theriogenology","001","","34","4.000","20.6",".",".",".",".",".",".","79.4",".",".",".",".",".",".",".","."
"674
Sr Rotation:Ambulatory Serv","001","","25","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"675","002","","23","4.000","43.5",".",".",".",".",".",".","56.5",".",".",".",".",".",".",".","."
"675","003","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","004","","44","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","024","","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"675","026","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","119","4.000","18.5",".",".",".",".",".",".","81.5",".",".",".",".",".",".",".","."
"678","001","","37","3.857","54.1",".",".",".",".","2.7",".","43.2",".",".",".",".",".",".",".","."
"678","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","","39","3.870","56.4",".",".",".",".","2.6",".","41.0",".",".",".",".",".",".",".","."
"679
Small Animal Oncology","001","","12","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","4.000","92.9",".",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"701
Production Medicine I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"703
Production Medicine II","001","","6","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"705
Prod Med III-Appl Dy Nutr","001","","10","4.000","20.0",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"775","001","","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","60","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
