"PATHOLOGY AND LABORATOR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"210
HIV: Sex, Society and Science","001","","96","3.693","68.8","9.4","17.7","2.1","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"399
Independent Study","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"653
Method Validation Basics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"654
Method Validation Projects","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Quality Control Basics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"656
Quality Control Projects","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"657
Quality Planning Basics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"658
Quality Planning Projects","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Independent Study","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"703
General Pathology","004","","148","3.690","65.5","6.1","27.7",".",".",".",".",".",".",".",".",".",".",".",".","0.7"
"751
Cell & Molec Biol of Aging","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803
Pathogensis-Major Hum Diseases","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"901","002","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Seminar / Journal Club","Course Total","","35","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"920","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerk-CSC","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 359 of 407",""
