"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"614","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"614","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac II","Course Total","","20","3.947","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"615","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"615","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"615","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","060","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac III","Course Total","","11","3.964","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"616","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"616","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac IV","Course Total","","2","***","","","","","","","","","","","","","","","",""
"672
Clinicl Educ-Nursing Pract","001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"680
Honors Seminar","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"681","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","080","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"681","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","16","3.976","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","038","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"698","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"700","001","","28","3.821","75.0","14.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"700","002","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nursing Research I","Course Total","","36","3.819","75.0","13.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Interpretv Rsch-Health Care","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"702","001","","28","3.750","60.7","28.6","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"702","002","","22","3.738","59.1","31.8",".",".","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"Hlth Promo&Disease Prevention","Course Total","","50","3.745","60.0","30.0","6.0",".","2.0",".",".",".",".",".",".",".","2.0",".",".","."
"703
Hlth Care & Public Policy-US","001","","41","3.707","56.1","34.1","7.3",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"704
Leadershp-Roles,Ethics,Care","002","","28","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"713
Family Process,Hlth&Illness","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"715
Preventn&Mgmt-Hlth Probs I","040","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 388 of 407",""
