"EDU","","","","","","","","","","","","","","","","","","","","",""
"","THERAPEUTIC SCI (DEPT-KINES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100","001","","36","3.764","55.6","41.7","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neural Basis-Norm&Path Mov","713","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","775","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"THER SCI
939","","Dept. Total","","56","3.882","69.6","28.6","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
