"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"","105
001","147","3.918","89.1","6.8","2.7",".",".","0.7",".",".",".",".",".",".",".",".","0.7","."
"","105
002","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","165","3.924","89.7","6.7","2.4",".",".","0.6",".",".",".",".",".",".",".",".","0.6","."
"","212
001","134","3.795","63.4","32.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
212","24","3.646","45.8","41.7","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Response-Hlth & Illness I","Course Total","158","3.772","60.8","33.5","5.1","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"","219
001","130","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","219
002","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Nursing I","Course Total","154","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Independent Reading","299
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","301
001","128","3.914","82.8","17.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
301","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Hist&Patient Assessmnt","Course Total","152","3.911","82.9","16.4","0.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","310
001","65","3.715","56.9","30.8","10.8","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","111","3.887","78.4","20.7","0.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","134","3.899","80.6","18.7","0.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
001","59","3.932","88.1","10.2","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
002","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","Course Total","81","3.951","91.4","7.4","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","128","3.281","16.4","36.7","35.9","8.6","2.3",".",".",".",".",".",".",".",".",".",".","."
"","422
002","23","3.370","26.1","26.1","43.5","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concepts-Nurs Practice","Course Total","151","3.295","17.9","35.1","37.1","7.9","2.0",".",".",".",".",".",".",".",".",".",".","."
"","433
001","132","3.833","70.5","27.3","1.5",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"","433
002","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Essentials-Gerontol Nursing","Course Total","155","3.845","72.3","25.8","1.3",".","0.6",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","449
001","64","3.945","90.6","7.8","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Primary Health Care-School","470
002","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".",".","22.2",".","."
"","590
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
020","23","3.783","73.9","8.7","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","28","3.800","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","22","3.886","86.4","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Assessment","Course Total","46","3.848","76.1","19.6","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Practicum for CNS","606
001","12","4.000","8.3",".",".",".",".",".",".","91.7",".",".",".",".",".",".",".","."
"","613
040","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
041","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
060","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac I","Course Total","14","3.986","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","614
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
020","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
021","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
030","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 387 of 407",""
