"TERM : 1092","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2008-2009","","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SENIOR MEDICAL PROGRAM","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SR MED
882","Dept. Total","330","3.638","54.2","27.0","16.4","2.1","",".","",".","",".","",".","",".",".","",".","",".","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 1","","2","3.500",".","100.0",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","128","3.482","28.9","38.3","28.9","3.1","",".","",".","",".","",".","",".",".","",".","",".","0.8",".",".","."
"Prof Yr 4","","199","3.780","70.9","19.1","8.5","1.5","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","","330","3.638","54.2","27.0","16.4","2.1","",".","",".","",".","",".","",".",".","",".","",".","0.3",".",".","."
"","Dept. Total","330","3.638","54.2","27.0","16.4","2.1","",".","",".","",".","",".","",".",".","",".","",".","0.3",".",".","."
