"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"401
Survey of Pharmacology","001","","230","3.395","42.2","17.0","24.8","10.4","4.8",".","0.4",".",".",".",".",".",".","0.4",".","."
"420
Intro-Drug Action&Delivry I","001","","132","3.115","21.2","29.5","18.2","15.9","12.1","2.3",".",".",".",".",".",".",".",".",".","0.8"
"432
Pharmaceutical Biochemistry","001","","86","2.703","12.8","5.8","36.0","11.6","29.1","3.5","1.2",".",".",".",".",".",".",".",".","."
"521
Pharmacology I","001","","140","2.661","9.3","8.6","30.0","23.6","23.6","2.9","2.1",".",".",".",".",".",".",".",".","."
"531
Medicinal Chemistry I","001","","134","2.970","17.2","6.7","52.2","5.2","17.2","0.7","0.7",".",".",".",".",".",".",".",".","."
"540
Drug Delivery Systems","001","","129","3.047","10.1","22.5","39.5","22.5","5.4",".",".",".",".",".",".",".",".",".",".","."
"541
Drug Delivery Systems Lab I","001","","131","3.229","25.2","22.9","32.1","12.2","7.6",".",".",".",".",".",".",".",".",".",".","."
"558
Lab Techniques-Pharmcol&Toxcol","001","","8","3.000","12.5","25.0","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"623
Pharmacology III","002","","132","3.295","28.8","27.3","30.3","6.1","5.3","2.3",".",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","8","3.125","12.5","12.5","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"635
Drug Interactions","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"638
Nonprescription Medications","001","","110","3.045","3.6","27.3","44.5","17.3","4.5",".",".","2.7",".",".",".",".",".",".",".","."
"645
Phmceut","001","","123","3.571","43.1","31.7","21.1","3.3","0.8",".",".",".",".",".",".",".",".",".",".","."
"Biotech&Phmacogenomics","","","","","","","","","","","","","","","","","","","",""
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"768
Pharmacokinetics","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Special Topics-Pharm Sci","001","","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Chem-Biology Interface I","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Pharmaceutical Sci Seminar","001","","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
