"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"812","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"812","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"812","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"812","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"812","007","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"812","009","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","010","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"812","012","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","64","3.852","70.3","29.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Lab Rsch-Anesthesiology-CSC","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","4","***","","","","","","","","","","","","","","","",""
"920","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesth Clerk-LaCrosse","Course Total","","3","***","","","","","","","","","","","","","","","",""
