"MEDICAL HISTORY AND BIOETH Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","",""
"Sci, Med, & Race: A History","275
001","21","3.289","19.0","38.1","19.0","4.8","9.5",".",".","9.5",".",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504
001","27","3.135","29.6","25.9","7.4","22.2","7.4",".","3.7","3.7",".",".",".",".",".",".",".","."
"Health, Disease & Healing I","507
001","17","3.265","29.4","47.1","5.9","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Dev Public Health-America","509
001","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enivr&Hlth-Global Perspective","513
001","10","3.450","40.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Eth & Reg Iss-Clin Investigatn","545
002","29","3.519","48.3",".","44.8",".",".",".",".",".",".",".",".",".","6.9",".",".","."
"Topics-Ethics & Hist of Med","559
001","29","3.310","24.1","31.0","31.0","10.3","3.4",".",".",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in History of Med","668
001","14","3.731","42.9","50.0",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Ind Study in Med History","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Development of Pub Health-Amer","709
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Studies - Environment & Health","713
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"MED HIST
452","Dept. Total","167","3.393","36.5","28.1","19.8","7.2","3.6",".","1.2","2.4",".",".",".",".","1.2",".",".","."
