"MEDICAL SCIENCES - MED SCH","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","","","","","","","",""
"Directed Study","699
032","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Hematology","703
001","148","3.436","36.5","21.6","36.5","3.4","2.0",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Cardiovascular System","706
001","148","3.551","48.6","23.6","18.2","8.1","1.4",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Respiratory System","715
001","147","3.639","52.4","25.2","20.4","2.0",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Pharmacology I","717
001","146","3.769","67.1","19.2","12.3","0.7",".",".","",".","",".",".","",".",".","",".","",".","",".",".","0.7"
"Smr-Contemp Iss:Health Care","719
001","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Neoplastic Diseases","721
001","154","3.747","70.1","9.7","14.9","0.6","1.9",".","",".","","2.6",".","",".",".","",".","",".","",".",".","."
"Med Spanish for Hlth Sci Stdts","735
001","22","",".",".",".",".",".",".","",".","",".",".","","100.0",".","",".","",".","",".",".","."
"Patient, Doctor & Society 1","800
001","164","",".",".",".",".",".",".","",".","","100.0",".","",".",".","",".","",".","",".",".","."
"Patient, Doctor & Society 3","806
001","150","3.957","92.7","6.0","1.3",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"MED SC-M
622","Dept. Total","1081","3.685","50.7","14.5","14.2","2.0","0.7","",".","",".","15.6","",".","2.0","",".","",".","",".",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","4","",".",".",".",".",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"Undergraduates","","4","",".",".",".",".",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"Special","","2","3.500",".","50.0",".",".",".","",".","",".",".","",".","50.0","",".","",".","",".",".",".","."
"Graduate","","8","3.750","12.5","12.5",".",".",".","",".","",".","50.0","",".","25.0","",".","",".","",".",".",".","."
"Prof Yr 1","","177","4.000","1.1",".",".",".",".","",".","",".","92.1","",".","6.8","",".","",".","",".",".",".","."
"Prof Yr 2","","887","3.684","61.4","17.5","17.4","2.5","0.9","",".","",".","0.1","",".","0.1","",".","",".","",".",".",".","0.1"
"Prof Yr 3","","3","",".",".",".",".",".","",".","",".","33.3","",".","66.7","",".","",".","",".",".",".","."
"Professionals","","1067","3.685","51.3","14.5","14.4","2.1","0.7","",".","",".","15.5","",".","1.4","",".","",".","",".",".",".","0.1"
"","Dept. Total","1081","3.685","50.7","14.5","14.2","2.0","0.7","",".","",".","15.6","",".","2.0","",".","",".","",".",".",".","0.1"
