"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300
001","271","2.987","19.9","18.1","32.8","11.1","11.4","5.5","0.7",".",".",".",".",".","0.4",".",".","."
"Property Risk Management","610
001","55","3.464","34.5","41.8","18.2",".","3.6",".","1.8",".",".",".",".",".",".",".",".","."
"Life and Health Insurance","630
001","55","2.891","14.5","23.6","25.5","16.4","10.9","9.1",".",".",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640
001","24","3.563","41.7","33.3","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700
001","23","3.565","39.1","34.8","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","5","***","","","","","","","","","","","","","","","",""
"Read&Rsch-Risk Mgt&Ins Phd","999
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"R M I
241","Dept. Total","439","3.103","23.9","23.0","28.2","9.1","8.9","4.6","0.7","1.4",".",".",".",".","0.2",".",".","."
