"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reproductive Endocrine Physiol
710","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-OB/GYN","Course Total","","4","***","","","","","","","","","","","","","","","",""
"919","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized Ob/Gyn Elective","Course Total","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gynecologic Oncology","Course Total","","3","***","","","","","","","","","","","","","","","",""
"934","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"934","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Obstetric Hospitalist","Course Total","","2","***","","","","","","","","","","","","","","","",""
"935","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"935","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching in Clinical Setting","Course Total","","4","***","","","","","","","","","","","","","","","",""
"938","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"938","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"938","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Obs Gyn Inpt Acting Internship","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Endocrinlgy-Reprodctve Phys
954","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Responsible Conduct
955","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","6","",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".",".",".","."
"990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","14","4.000","57.1",".",".",".",".",".",".","35.7","7.1",".",".",".",".",".",".","."
