"Ethics in Public Health","741
001","11","",".",".",".",".","",".",".","",".","100.0",".","",".",".","",".","","",".",".",".","."
"Reading and Research","890
101","1","***","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Grad Studies-Medical Hist","919
001","1","***","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"452
MED HIST","Dept. Total","148","3.640","46.6","34.5","8.8","1.4","",".","1.4","",".","7.4","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","24","3.438","29.2","50.0","12.5","4.2","",".","4.2","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","34","3.603","47.1","38.2","11.8",".","",".","2.9","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","25","3.700","48.0","44.0","8.0",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","45","3.720","62.2","26.7","8.9","2.2","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","128","3.629","49.2","37.5","10.2","1.6","",".","1.6","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","7","3.808","57.1","42.9",".",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","11","",".",".",".",".","",".",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","13","4.000","15.4",".",".",".","",".",".","",".","84.6","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","148","3.640","46.6","34.5","8.8","1.4","",".","1.4","",".","7.4","",".",".","",".","",".","",".",".",".","."
