"TERM : 1212","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2020-2021","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"","PATHOLOGY AND LABORATORY Section","#","Ave","A","AB","B","BC","","C","","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"704","PATH","","","","","","","","","","","","","","","","","","","","","","",""
"704","PATH","Dept. Total
248","3.843","23.4","2.4","2.0","",".","",".","0.4","",".","48.0","",".","20.2","",".","2.4","0.4",".","0.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"704","PATH","","","","","","","","","","","","","","","","","","","","","","",""
"","Freshmen","2","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
