"REHAB PSYCH & SPECIAL EDUC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"","100
001","139","3.838","87.1","7.2","2.2","0.7","0.7","0.7","1.4",".",".",".",".",".",".",".",".","."
"","100
002","141","3.872","87.2","5.7","5.0","1.4",".",".","0.7",".",".",".",".",".",".",".",".","."
"Disability and Society","Course Total","280","3.855","87.1","6.4","3.6","1.1","0.4","0.4","1.1",".",".",".",".",".",".",".",".","."
"Disability and Substance Abuse","121
001","40","3.763","75.0","10.0","7.5","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"Health & Rhabilitatn Prfessns","125
001","41","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
001","20","3.625","60.0","20.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","200
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Special Education","Course Total","39","3.808","79.5","10.3","5.1","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","300
001","63","3.952","93.7","4.8",".","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","76","3.907","89.5","2.6","5.3",".","1.3",".",".",".",".",".",".",".","1.3",".",".","."
"","300
003","64","3.984","98.4",".","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","203","3.946","93.6","2.5","2.5","0.5","0.5",".",".",".",".",".",".",".","0.5",".",".","."
"","310
001","34","3.719","79.4","2.9","2.9","2.9","2.9",".","2.9","5.9",".",".",".",".",".",".",".","."
"","310
002","34","3.926","88.2","8.8","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Positive Psych and Well Being","Course Total","68","3.826","83.8","5.9","2.9","1.5","1.5",".","1.5","2.9",".",".",".",".",".",".",".","."
"Health Prmtion Disab & Illness","316
001","65","3.992","98.5","1.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Self Mngmt Illness, Disability","325
001","35","3.971","97.1",".","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Behav Anal:Person-Disabilty","330
001","44","3.686","54.5","29.5","9.1","4.5",".",".",".",".",".",".",".",".","2.3",".",".","."
"Tching Math in Inclusive Set","365
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","464
001","27","3.944","92.6","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","464
002","41","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnosis and Assessment","Course Total","68","3.971","95.6","2.9","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","466
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","466
002","21","3.905","95.2",".",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Diversity in Special Education","Course Total","40","3.950","97.5",".",".",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"Elem Stdt Teaching Seminar","467
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Practicum: MC - EA","475
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sp Ed Student Teaching: MC-EA","477
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sp Ed Student Teaching: EA-A","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Foundatn","500
001","49","3.867","81.6","14.3","2.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","501
001","15","3.700","86.7","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","501
002","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","Course Total","35","3.843","91.4","2.9","2.9",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"","505
001","52","3.933","90.4","5.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","505
002","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bio,Psych,&Voc Aspt-Disabil","Course Total","92","3.962","94.6","3.3","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","515
001","22","3.900","81.8","4.5",".","4.5",".",".",".",".",".",".",".",".","9.1",".",".","."
"","515
002","22","3.818","86.4","4.5",".","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Access to General Curriculum","Course Total","44","3.857","84.1","4.5",".","4.5","2.3",".",".",".",".",".",".",".","4.5",".",".","."
"","630
019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","Page 80 of 450",""
