"TERM : 1212","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2020-2021","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","","","","","",""
"LAW","","Section
#","Ave","A","","AB","B","BC","","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"528","LAW","","","","","","","","","","","","","","","","","","","","","","",""
"528","LAW","Dept. Total
3560","1.267","","7.5","0.0","20.8","",".","2.6","0.3","0.1","22.1","",".",".","",".","",".","0.4",".",".","0.8"
"Summary by Level","","#","Ave","A","","AB","B","BC","","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"528","LAW","","","","","","","","","","","","","","","","","","","","","","",""
"","Special","7","","",".",".",".","",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
