"PHM","","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","Dept. Total","1806","3.808","65.5","16.8","6.5","3.1","0.6","0.3","0.2","",".","",".","6.9","",".",".","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","50","2.960","26.0","22.0","24.0","10.0","6.0","6.0","6.0","",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","26","3.423","53.8","15.4","15.4","7.7",".","7.7",".","",".","",".",".","",".",".","",".",".",".","."
"Junior","","6","3.750","66.7","16.7","16.7",".",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","","5","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Undergraduates","","87","3.184","37.9","20.7","19.5","9.2","3.4","5.7","3.4","",".","",".",".","",".",".","",".",".",".","."
"Graduate","","21","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 1","","163","3.910","87.7","9.8","1.2","0.6","0.6",".",".","",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","","628","3.647","46.8","19.9","8.3","4.3","0.6",".","0.2","",".","",".","19.9","",".",".","",".",".",".","."
"Prof Yr 3","","757","3.806","57.9","16.5","4.9","2.4","0.1","0.1",".","",".","",".",".","",".","18.0","",".",".","0.1","."
"Prof Yr 4","","286","3.914","88.8","6.6","3.5","0.7","0.3",".",".","",".","",".",".","",".",".","",".",".",".","."
"Professionals","","1834","3.835","61.6","15.5","5.5","2.6","0.4","0.1","0.1","",".","",".","6.8","",".","7.4","",".",".","0.1","."
"","Dept. Total","1942","3.808","60.9","15.6","6.1","2.9","0.5","0.3","0.2","",".","",".","6.4","",".","7.0","",".",".","0.1","."
