"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"962","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Surgical Critical Care","Course Total","","5","***","","","","","","","","","","","","","","","",""
"963","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"963","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"963","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiothoracic Surgery Electiv","Course Total","","3","***","","","","","","","","","","","","","","","",""
"967","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"967","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Urology Elective","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Opt. Value, Quality and Safety
973","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"936
SURGERY","Dept. Total","","158","3.984","17.1","0.6",".",".",".",".",".","81.0",".",".",".",".",".",".","1.3","."
