"TERM : 1212","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2020-2021","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","","Section
#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"700","ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","",""
"700","ONCOLOGY","Dept. Total
176","3.667","39.8","16.5","14.2","",".","0.6","",".","",".","23.9","",".",".","",".","4.5","",".",".","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"700","ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","",""
"","Junior","7","3.667","57.1","14.3","28.6","",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
