"EDUCATIONAL POLICY STUDIES Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"","150","001","33","3.939","87.9","12.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150","002","22","3.844","63.6","13.6",".","4.5","4.5",".",".","4.5",".",".",".",".","4.5","4.5",".","."
"","150","003","37","3.959","94.6","2.7","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150","004","37","3.973","97.3",".","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150","006","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150","007","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education and Public Policy","","Course Total","155","3.935","87.1","7.7","1.9","0.6","0.6",".",".","0.6",".",".",".",".","0.6","0.6",".","."
"Race,Ethnicty&Inequal-Am Ed","200","001","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Youth, Education, and Society","210","001","148","3.905","86.5","8.1","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Rights and Education","220","001","37","3.892","97.3",".",".",".",".",".","2.7",".",".",".",".",".",".",".",".","."
"Wealth, Poverty and Inequality","237","001","43","4.000","97.7",".",".",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"Comparative Education","240","001","47","3.870","80.9","8.5","8.5",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"","300","002","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","300","006","118","3.668","48.3","39.0","7.6","2.5","0.8",".",".","0.8",".",".",".",".","0.8",".",".","."
"School and Society","","Course Total","142","3.723","56.3","32.4","6.3","2.1","0.7",".",".","0.7",".",".",".",".","1.4",".",".","."
"Globalization and Education","335","001","25","3.938","84.0","12.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Independent Reading","399","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History-American Education","412","001","58","3.402","39.7","27.6","17.2","5.2","3.4","1.7","1.7","3.4",".",".",".",".",".",".",".","."
"Anthropology and Education","570","001","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education Policy and Practice","575","001","27","4.000","96.3",".",".",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Problems in Educ Pol","600","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-Rad&Expermntl Ed in US&UK","622","001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Education","648","001","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Intro to Comparatv & Intl Educ","675","001","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Ed Policy Studies","701","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Educ and Civil Rights Movement","712","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field II","789","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community-based Spaces","810","001","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Smr-Qualitative Methodology","955","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990","012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","","Page 94 of 450"
