"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Community Pharmarcy Practice","Course Total","","41","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd
746","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"760","004","","53","3.840","79.2","11.3","7.5","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"760","005","","60","3.917","91.7","3.3","3.3",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"760","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","125","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","181","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","190","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","193","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","225","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","280","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","285","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","289","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","293","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elective Pharm Pract Clkshp","Course Total","","124","3.887","86.3","7.3","4.8","0.8","0.8",".",".",".",".",".",".",".",".",".",".","."
"764","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"764","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Grad Sem Hlth-System Pharmacy
961","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study
999","028","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
