"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"Phys/Chem Principles of Drugs
420","001","","101","3.213","19.8","16.8","54.5","5.9","2.0","1.0",".",".",".",".",".",".",".",".",".","."
"Pharmaceutical Biochemistry
432","001","","101","3.901","85.1","9.9","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology I
521","001","","148","3.902","87.8","7.4","2.7","1.4","0.7",".",".",".",".",".",".",".",".",".",".","."
"Drug Delivery Systems
540","001","","125","3.780","65.6","26.4","6.4","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Parenteral Therapy & Nutrition
542","001","","125","3.916","87.2","8.8","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Techniques-Pharmcol&Toxcol
558","001","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology III
623","001","","156","3.923","87.8","9.0","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Toxicology I
625","001","","24","3.833","70.8","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Drug Development Process
750","001","","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Reg Practice
751","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trends in Drug Disc/Dev
759","001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Molecular Recognition
766","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharmacokinetics
768","001","","7","3.583","42.9","28.6",".","14.3",".",".",".",".",".",".",".",".","14.3",".",".","."
"Principles of Pharmaceut Sci
780","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931","001","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"931","002","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"931","003","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmaceutical Sci Seminar","Course Total","","62","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","091","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
