"MEDICAL SCIENCES - MED SCH Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Med Spanish for Hlth Sci Stdts
735
001","","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pts, Prof. and Public Health
770
001","","174","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Body in Balance
771
001","","172","",".",".",".",".",".",".",".","97.7",".",".",".",".",".",".",".","2.3"
"Invaders and Defense
774
100","","178","",".",".",".",".",".",".",".","97.8","0.6",".",".",".",".",".",".","1.7"
"Mind & Motion
775
001","","174","",".",".",".",".",".",".",".","97.7","1.1",".",".",".","0.6",".",".","0.6"
"810
021","","41","",".",".",".",".",".",".",".","97.6",".",".",".",".",".",".",".","2.4"
"810
022","","49","",".",".",".",".",".",".",".","89.8",".",".",".",".",".",".",".","10.2"
"Course Total
Care Across the Life Cycle","","90","",".",".",".",".",".",".",".","93.3",".",".",".",".",".",".",".","6.7"
"811
021","","43","",".",".",".",".",".",".",".","93.0",".",".",".",".","4.7",".",".","2.3"
"811
022","","37","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"811
101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Chronic and Preventive Care","","81","",".",".",".",".",".",".",".","96.3",".",".",".",".","2.5",".",".","1.2"
"812
021","","37","",".",".",".",".",".",".",".","97.3",".",".",".",".","2.7",".",".","."
"812
022","","42","",".",".",".",".",".",".",".","97.6",".",".",".",".",".",".",".","2.4"
"Course Total
Acute Care","","79","",".",".",".",".",".",".",".","97.5",".",".",".",".","1.3",".",".","1.3"
"813
021","","42","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"813
022","","36","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Course Total
Surgical and Procedural Care","","78","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
041","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
042","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
043","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
044","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
045","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Course Total
Ambulatory Acting Internship","","68","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Lab-based Teaching in Med Ed
912
009","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
