"PHYSICAL THERAPY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"745
PHY THER","","","","","","","","","","","","","","","","","","","","",""
"Functional Neuroanatomy for PT","500","001","","40","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cardiovasc&Pulmonry Treatmt","523","001","","39","3.910","82.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"FFdations of PT: Exam and Eval","527","001","","40","3.900","82.5","15.0","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"PT Educ&Lifespan Learning Iss","539","001","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Culture&Diversity in Hlth Care","541","001","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin: Tissue Mech & Adaptatns","627","001","","40","3.713","55.0","32.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Control Dysfunction I","635","001","","39","3.744","51.3","46.2","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Issues-Rehabilitatn","641","001","","39","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Medicine I","664","001","","40","3.838","70.0","27.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musculoskeletal Dysfunction I","676","001","","39","3.692","41.0","56.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Internship IV","703","001","","37","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Internship V","704","001","","39","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","799","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
